chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
Nb-Pt-O,Nb,Pt,O,Nb5Pt3O_17525_POSCAR,35,local_max_drop,12.09073821,-0.34840545306623,-0.1660184500839031,-0.1823870029823268,9.672591,19.748206,0.01817371,mp-17525,Nb5Pt3O,Hexagonal,P6_3/mcm,193,0.021865657129628,-0.911368884444444,False,0.0,True,12.387078619029332,18,285.74530943729764,15.8747394131832,250.3940157882704,0.876283905696851,87.6283905696851,Nb-Pt
Nb-Re-O,Nb,Re,O,Nb4ReO4_795582_POSCAR,35,local_max_drop,7.3177342969,-0.26788851609206,-0.1149906810161535,-0.1528978350759064,6.308392,12.364448,0.01871261,mp-795582,Nb4ReO4,Triclinic,P-1,2,0.5512418899074071,-1.482234493055555,False,0.0,True,8.767533716333038,18,235.54473611462603,13.08581867303478,186.28983444693145,0.7908893975719115,79.08893975719114,Nb-Re
Nb-Sc-O,Nb,Sc,O,Sc3NbO7_1173397_POSCAR,35,local_max_drop,7.5515855,-0.15433322172669,-0.0715428646411148,-0.0827903570855751,7.030786,12.759576,0.01091651,mp-1173397,Sc3NbO7,Monoclinic,P2/c,13,0.102306958522733,-3.592350681818181,False,2.622,False,4.280700555553668,22,263.60228272641154,11.981921942109617,177.2898417008294,0.672565654087433,67.2565654087433,Nb-Sc
Nb-Ti-O,Nb,Ti,O,TiNb2O7_1216971_POSCAR,35,local_max_drop,13.5850471501,-0.12426015824648,-0.0681367742920398,-0.0561233839544401,12.679377,22.18891,0.0058271,mp-1216971,TiNb2O7,Monoclinic,Cm,8,0.009542900702271,-3.16681742716667,False,1.931599999999999,False,4.202922888657227,30,409.720416190496,13.657347206349868,187.6204371658034,0.457923085479272,45.7923085479272,Nb-Ti
Nb-Ti-S,Nb,Ti,S,Ti_NbS2_3_1188929_POSCAR,35,local_max_drop,8.4285657709,-0.18622882265766,-0.1004810162957431,-0.0857478063619168,7.266005,14.24137,0.014384,mp-1188929,Ti(NbS2)3,Hexagonal,P6_322,182,0.0,-1.5402164203333322,True,0.0,True,4.697962706612149,20,366.8739876550927,18.34369938275464,203.3622626137679,0.5543109336085005,55.43109336085005,Nb-Ti
Nb-V-O,Nb,V,O,NbVO4_756605_POSCAR,35,global_gradient_fallback,6.3781146943,-0.073276553362494,-0.0562606588852197,-0.0170158944772742,5.466955,11.161701,0.0101308,mp-756605,NbVO4,Tetragonal,I4_1/a,88,0.076912839925551,-2.749101775833333,False,0.0,True,5.396796867737191,12,127.90384656244434,10.658653880203696,76.59207078242123,0.598825389860562,59.8825389860562,Nb-V
Nb-V-S,Nb,V,S,Nb5V3S20_1220583_POSCAR,35,local_max_drop,12.6287164716,-0.1699157549044,-0.1086852299867068,-0.0612305249176932,11.757771,21.338176,0.01044823,mp-1220583,Nb5V3S20,Monoclinic,Cm,8,0.013860526194195,-1.1819580210714271,False,0.0,True,3.69391694583044,28,565.8080983259161,20.207432083068436,234.37098428748783,0.4142234531123408,41.42234531123408,Nb-V
Nb-Y-O,Nb,Y,O,Y3NbO7_676261_POSCAR,35,local_max_drop,11.9086782964,-0.20420851876548,-0.0824188064934795,-0.1217897122720004,10.266102,20.12156,0.00828104,mp-676261,Y3NbO7,Monoclinic,Cm,8,0.246950681250007,-3.483086835454544,False,2.2167,False,5.245980787321197,22,298.568759180232,13.571307235465092,226.1981561319153,0.7576082532980956,75.76082532980955,Nb-Y
Nb-Zn-S,Nb,Zn,S,Nb6ZnS8_1220442_POSCAR,35,local_max_drop,14.034949069,-0.1591320906176,-0.0859909591353856,-0.0731411314822143,12.099094,23.714224,0.00748955,mp-1220442,Nb6ZnS8,Trigonal,P-3,147,0.062612726282052,-1.235723551333332,False,0.0,True,5.31071539578605,15,274.9580075181401,18.330533834542678,157.2577065286754,0.571933539772616,57.1933539772616,Nb-Zn
Nb-Zr-O,Nb,Zr,O,ZrNbO4_756426_POSCAR,35,global_gradient_fallback,8.2751553309,-0.068765589526293,-0.0583628160934196,-0.0104027734328733,7.09299,14.481522,0.00813537,mp-756426,ZrNbO4,Monoclinic,C2/c,15,0.102051240416667,-3.253571734166666,False,0.0,True,5.859582313450328,12,140.63330165551437,11.719441804626198,91.48571647939887,0.6505266917752951,65.05266917752951,Nb-Zr
