chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Mn-W-O,1,O,0.5009268947074412,0.5009268947074412,0.5009268947074412,0.0,11.734807158110883,-0.0706536730513467,-0.0706536730513467,-0.0706536730513467,,
Co-Nb-O,6,O,0.48134645860429837,0.48162791869263144,0.5030571842516616,0.021710725647363205,11.254608316013288,-0.0702622591725086,-0.0683518319957128,-0.0665758439949456,0.7390155709273056,0.0913383510903593
Sc-Y-S,1,S,0.5987645467125766,0.5987645467125766,0.5987645467125766,0.0,21.329780937696793,-0.0701736488635591,-0.0701736488635591,-0.0701736488635591,,
Hf-Mn-O,1,O,0.6222090596987668,0.6222090596987668,0.6222090596987668,0.0,11.993259426011862,-0.0684779971930928,-0.0684779971930928,-0.0684779971930928,,
Hf-Ni-O,1,O,0.629789937890833,0.629789937890833,0.629789937890833,0.0,10.812661389720532,-0.0683419615020236,-0.0683419615020236,-0.0683419615020236,,
Cr-Cu-O,5,O,0.2765095072038224,0.4909848372193611,0.495250676551732,0.2187411693479096,10.751019893527411,-0.0682576356209806,-0.04064997907180832,-0.0218796698687194,0.9991945135609457,0.2145810650751412
Co-Tc-O,1,O,0.44237587232493164,0.44237587232493164,0.44237587232493164,0.0,11.264222225644415,-0.0678663333907524,-0.0678663333907524,-0.0678663333907524,,
Hf-Ti-O,1,O,0.6440090893581315,0.6440090893581315,0.6440090893581315,0.0,11.496634812436971,-0.0664943000051836,-0.0664943000051836,-0.0664943000051836,,
Ir-Y-O,1,O,0.6766189805443041,0.6766189805443041,0.6766189805443041,0.0,12.008350467344853,-0.0657705862383914,-0.0657705862383914,-0.0657705862383914,,
Ni-Rh-O,2,O,0.46072811681037895,0.46131977608855324,0.46191143536672746,0.0011833185563485116,11.393081183424398,-0.0650446448597352,-0.06334847005008234,-0.0616522952404295,-1.0,-2.8668101257314955
Cr-Ni-O,1,O,0.26576237490858706,0.26576237490858706,0.26576237490858706,0.0,14.203866212625236,-0.0647044026762287,-0.0647044026762287,-0.0647044026762287,,
Cu-V-S,1,S,0.5611410930621589,0.5611410930621589,0.5611410930621589,0.0,15.484949272484263,-0.0645274133348542,-0.0645274133348542,-0.0645274133348542,,
Mn-Rh-O,1,O,0.5007088320103678,0.5007088320103678,0.5007088320103678,0.0,11.427788301863334,-0.0627381822714853,-0.0627381822714853,-0.0627381822714853,,
Ni-Ti-S,1,S,0.5166193313251354,0.5166193313251354,0.5166193313251354,0.0,17.140781648565543,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406,,
Pd-Y-O,1,O,0.6785428345980641,0.6785428345980641,0.6785428345980641,0.0,11.799853617761629,-0.0618063132235266,-0.0618063132235266,-0.0618063132235266,,
Cd-Pd-O,1,O,0.5331423072922207,0.5331423072922207,0.5331423072922207,0.0,11.9745669284976,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175,,
Ag-Nb-O,2,O,0.42247514319323975,0.4263789036928881,0.43028266419253647,0.007807520999296713,14.54193917445306,-0.0614078124474974,-0.06070460806596075,-0.0600014036844241,1.0,0.1801351239657215
Ti-W-O,1,O,0.47226461014269794,0.47226461014269794,0.47226461014269794,0.0,12.95496423046885,-0.0608393278510026,-0.0608393278510026,-0.0608393278510026,,
Co-Hf-O,1,O,0.5994559250234175,0.5994559250234175,0.5994559250234175,0.0,11.49083118438347,-0.0607549528056381,-0.0607549528056381,-0.0607549528056381,,
Cr-Hf-O,1,O,0.6096493783257306,0.6096493783257306,0.6096493783257306,0.0,12.24033835755863,-0.0605584261793253,-0.0605584261793253,-0.0605584261793253,,
Ag-Cr-S,1,S,0.41084834136507314,0.41084834136507314,0.41084834136507314,0.0,18.7434316779987,-0.060173778380712,-0.060173778380712,-0.060173778380712,,
Ti-Y-S,2,S,0.5329858427641763,0.5667271877695942,0.6004685327750121,0.06748269001083584,20.85532128616476,-0.0601561340204611,-0.03802290383846325,-0.0158896736564654,-1.0,-0.6559676319495844
