chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Fe-S,Fe2S_851357_POSCAR,35,local_max_drop,7.1123326346,-0.25086715441454,-0.145084454629817,-0.1057826997847229,6.604309,12.446582,0.02275008,mp-851357,Fe2S,Monoclinic,Cm,8,0.327644877380953,-0.177315810119045,False,0.0,True,6.424253454912277,21,260.1042388332623,12.385916134917252,168.82050584182093,0.649049421874443,64.9049421874443
Fe-S,Fe3S_1184373_POSCAR,35,global_gradient_fallback,6.717302397,-0.10077556183541,-0.0605851196764769,-0.040190442158933,6.200587,12.659531,0.00855024,mp-1184373,Fe3S,Hexagonal,P6_3/mmc,194,0.394980667499999,0.016260151875,False,0.0,True,6.7380176757661125,8,98.38015096653295,12.297518870816619,67.50259709996458,0.6861404097959524,68.61404097959523
Fe-S,Fe3S_1189032_POSCAR,35,local_max_drop,7.4709782,-0.23335261928889,-0.1169629549408093,-0.1163896643480806,6.670516,13.074212,0.01697825,mp-1189032,Fe3S,Orthorhombic,Pnma,62,0.163449760625,-0.215270754999998,False,0.0,True,7.129732576305925,16,185.95008670863126,11.621880419289454,135.00519419992915,0.7260292081039541,72.6029208103954
Fe-S,Fe4S5_850083_POSCAR,35,global_gradient_fallback,11.442340165,-0.062485472500238,-0.048057358344363,-0.0144281141558749,9.469523,19.333609,0.00433106,mp-850083,Fe4S5,Tetragonal,P4,75,0.062182773333333,-0.7252702374999991,False,0.0,True,2.030805711129187,18,627.4919740891206,34.86066522717337,125.56315004593566,0.2001031969025668,20.01031969025668
Fe-S,Fe4S5_850249_POSCAR,35,global_gradient_fallback,11.385239659,-0.062532324999169,-0.0486718266673354,-0.0138604983318336,9.422267,19.237129,0.00440505,mp-850249,Fe4S5,Monoclinic,P2,3,0.061710484999999,-0.7257425258333321,False,0.0,True,2.023970641848148,18,629.6110520483845,34.978391780465806,125.56315004593566,0.19942971083088032,19.942971083088032
Fe-S,Fe4S5_870701_POSCAR,35,global_gradient_fallback,15.0396929,-0.062535558113107,-0.0485145458687356,-0.0140210122443713,12.446642,25.411895,0.00332464,mp-870701,Fe4S5,Tetragonal,P4/n,85,0.063866019999999,-0.7235869908333321,False,0.0,True,1.990262114798088,18,640.2746025191625,35.57081125106458,125.56315004593566,0.19610827846662515,19.610827846662517
Fe-S,Fe7S12_684707_POSCAR,35,local_max_drop,7.5653298,-0.3729346048142,-0.3048220136027127,-0.0681125912114872,7.295139,13.239327,0.04472709,mp-684707,Fe7S12,Monoclinic,Pc,7,0.238451485394736,-0.590070550131578,False,0.1398,False,4.673514271830085,76,1102.443922299735,14.505841082891251,502.50865255138024,0.4558133455923366,45.58133455923366
Fe-S,Fe7S8_21688_POSCAR,35,local_max_drop,9.302750002,-0.3230669674128,-0.2241938947193235,-0.0988730726934765,8.638268,16.279813,0.02683815,mp-21688,Fe7S8,Trigonal,P3_1,144,0.165681557,-0.6097666619999991,False,0.0,True,5.347088959315148,45,603.1830317471249,13.404067372158332,318.6929102837452,0.5283519156045362,52.83519156045362
Fe-S,Fe7S8_556435_POSCAR,35,local_max_drop,9.21487,-0.31960388311789,-0.2399122850210941,-0.0796915980967958,8.885768,16.126023,0.02906952,mp-556435,Fe7S8,Trigonal,P3_121,152,0.126390304333334,-0.6490579146666651,False,0.0,True,5.522181407054188,45,584.0578380963607,12.979063068808015,318.6929102837452,0.5456529978648548,54.565299786485475
Fe-S,FeS_2779_POSCAR,35,local_max_drop,6.8954145735,-0.19005346235382,-0.1262798924883411,-0.0637735698654789,6.384643,12.513901,0.01935263,mp-2779,FeS,Hexagonal,P-62c,190,0.299531570416666,-0.457909460833332,False,0.0,True,5.094471969029963,24,343.850331201194,14.327097133383084,173.79758028645583,0.5054454351674398,50.54454351674398
