chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ti-O,Ti2O3_1188323_POSCAR,mp-1188323,Ti2O3,Orthorhombic,Pnma,62,0.001529219,-3.301910415333334,False,0.116299999999998,False,5.275291036997773,20,180.974229898941,9.04871149494705,151.70940257502357,0.8382928478808316,83.82928478808316
Ti-O,Ti2O3_458_POSCAR,mp-458,Ti2O3,Trigonal,R-3c,167,0.0,-3.303439634333334,True,0.0,True,4.602205288902889,10,103.72111545820289,10.372111545820289,75.85470128751187,0.7313332579621118,73.13332579621118
Ti-O,Ti2O3_776456_POSCAR,mp-776456,Ti2O3,Monoclinic,P2_1/m,11,0.047594817333333,-3.255844817000002,False,0.0,True,4.775431857524981,30,299.87604106935703,9.995868035645234,227.5641038625354,0.7588605713582269,75.8860571358227
Ti-O,Ti2O3_776655_POSCAR,mp-776655,Ti2O3,Trigonal,P-31c,163,0.0846152525,-3.218824381833335,False,0.0,True,4.384148726776235,20,217.75988740924421,10.887994370462211,151.70940257502357,0.6966820399291926,69.66820399291926
Ti-O,Ti3O_1244956_POSCAR,mp-1244956,Ti3O,Triclinic,P1,1,0.350795468849999,-1.219118493649999,False,0.0,True,4.553156436256109,100,1455.1592022075927,14.551592022075926,1316.9028616282621,0.9049888559481433,90.49888559481433
Ti-O,Ti3O_1245140_POSCAR,mp-1245140,Ti3O,Triclinic,P1,1,0.282594412849999,-1.28731954965,False,0.0,True,4.64002642331426,100,1427.9158947723556,14.279158947723555,1316.9028616282621,0.9222552017590703,92.22552017590702
Ti-O,Ti3O_1245176_POSCAR,mp-1245176,Ti3O,Triclinic,P1,1,0.291027196049999,-1.278886766449999,False,0.0,True,4.616475057069482,100,1435.200537034429,14.35200537034429,1316.9028616282621,0.9175741143111563,91.75741143111563
Ti-O,Ti3O_2591_POSCAR,mp-2591,Ti3O,Trigonal,P-31c,163,0.0,-1.569913962499999,True,0.0,True,4.890993432307026,16,216.74345150009358,13.546465718755849,210.70445786052179,0.9721375958637939,97.21375958637938
Ti-O,Ti3O_554032_POSCAR,mp-554032,Ti3O,Hexagonal,P6_3/mcm,193,0.108002497499999,-1.461911465,False,0.0,True,4.741277982385064,8,111.79378226416311,13.97422278302039,105.35222893026089,0.9423800393596027,94.23800393596026
Ti-O,Ti3O_557812_POSCAR,mp-557812,Ti3O,Trigonal,P312,149,0.004301608958332,-1.565612353541665,False,0.0,True,4.890996522584021,24,325.1149714692351,13.546457144551463,316.0566867907827,0.9721382111764435,97.21382111764434
Ti-O,Ti3O2_978968_POSCAR,mp-978968,Ti3O2,Trigonal,R-3c,167,0.031906659999998,-2.352613252000002,False,0.0,True,5.221608301232395,10,111.68602131480426,11.168602131480426,107.76074978769144,0.9648544062998821,96.4854406299882
Ti-O,Ti3O4_1217157_POSCAR,mp-1217157,Ti3O4,Tetragonal,I4/mmm,139,0.02662257285714,-3.16382181714286,False,0.0,True,4.938099734889216,7,69.80936070452383,9.972765814931975,56.28889575127624,0.8063230372431784,80.63230372431785
Ti-O,Ti3O4_755875_POSCAR,mp-755875,Ti3O4,Orthorhombic,Cmmm,65,0.057754788571429,-3.132689601428573,False,0.0,True,4.809434818707178,7,71.67694297087627,10.239563281553753,56.28889575127624,0.7853138459622575,78.53138459622575
Ti-O,Ti3O5_1147_POSCAR,mp-1147,Ti3O5,Monoclinic,C2/m,12,0.002190746249999,-3.379942991875,False,0.0,True,4.273518581031359,16,173.76464253252473,10.860290158282796,114.98631235998307,0.6617359589621938,66.17359589621938
Ti-O,Ti3O5_1245031_POSCAR,mp-1245031,Ti3O5,Triclinic,P1,1,0.212679461730768,-3.169454276394231,False,0.018399999999999,False,3.613824616799446,104,1335.6519186295607,12.842806909899622,747.4110303398926,0.5595851882627999,55.95851882627999
Ti-O,Ti3O5_1245051_POSCAR,mp-1245051,Ti3O5,Triclinic,P1,1,0.194980261346152,-3.187153476778847,False,0.0,True,3.725965859733513,104,1295.4524989306403,12.456274028179234,747.4110303398926,0.5769497769751183,57.69497769751183
Ti-O,Ti3O5_1245086_POSCAR,mp-1245086,Ti3O5,Triclinic,P1,1,0.1961982275,-3.185935510625,False,0.018299999999999,False,3.7821199325276993,104,1276.2185942114838,12.271332636648882,747.4110303398926,0.5856449935221976,58.564499352219755
